manufacturer_name,model_name,transmission,body_type,production_year,number_of_seat,odometer_value,color_body,engine_fuel,engine_type,engine_capacity,drivetrain,price,url
Toyota,corolla-altis,Số tay,Sedan,2016,5,,Đen,Xăng,,,FWD - Dẫn động cầu trước,688000000,http://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/ban-xe-doi-2016-mau-den-aid2351188
Mercedes-Benz,e-class,Số tự động,Sedan,2017,5,28000,Nâu,Xăng,,,FWD - Dẫn động cầu trước,1680000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-e-class-hcm/can-ban-xe-e200-model-2017-so-tu-dong-mau-da-luong-cuc-dep-cuc-hiem-aidxc2491015
Chevrolet,orlando,Số tự động,SUV,2017,7,50000,Xám (ghi),Xăng,,,,460000000,http://oto.com.vn/mua-ban-xe-chevrolet-orlando-hcm/2017-so-tu-dong-may-xang-aidxc2473303
Ford,focus,Số tự động,Hatchback,2012,5,,Đỏ,Xăng,,,,350000000,http://oto.com.vn/mua-ban-xe-ford-focus-da-nang/ban-xe-doi-2012-mau-do-so-tu-dong-gia-350tr-aidxc2501935
Hyundai,hd,Số tay,Truck,2015,3,90000,Trắng,Diesel,,,RFD - Dẫn động cầu sau,1750000000,http://oto.com.vn/mua-ban-xe-hyundai-hd-hcm/can-ban-320-doi-2015-thung-dong-lanh-aidxc2467602
Toyota,camry,Số tự động,Sedan,2008,5,92000,Đen,Xăng,,,FWD - Dẫn động cầu trước,490000000,http://oto.com.vn/mua-ban-xe-toyota-camry-khanh-hoa/ban-24g-nam-san-xuat-2008-mau-den-nhu-moi-490tr-aidxc2502182
Kia,soul,Số tự động,Hatchback,2009,5,78000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,345000000,http://oto.com.vn/mua-ban-xe-kia-soul-ha-noi/ban-o-to-15-at-nam-san-xuat-2009-mau-trang-nhap-khau-nguyen-chiec-so-tu-dong-aidxc2501400
Hyundai,santa-fe,Số tự động,SUV,2008,7,80000,Đen,Diesel,,,RFD - Dẫn động cầu sau,459000000,http://oto.com.vn/mua-ban-xe-hyundai-santa-fe-ha-noi/o-to-thu-do-ban-xe-mlx-2008-at-may-dau-bien-thanh-pho-mau-den-459-trieu-aid2365392
Kia,morning,Số tự động,Hatchback,2015,5,48000,Trắng,Xăng,,,FWD - Dẫn động cầu trước,303000000,http://oto.com.vn/mua-ban-xe-kia-morning-dong-nai/ban-nam-san-xuat-2015-mau-trang-aidxc2501379
Hyundai,grand-i10,Số tự động,Hatchback,2018,5,26000,Đỏ,Xăng,,,FWD - Dẫn động cầu trước,388000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-hcm/xe-gia-dinh-can-ban-ban-full-so-tu-dong-gia-388tr-thuong-luong-aidxc2459380
Hyundai,avante,,Sedan,2014,5,60000,Trắng,Xăng,,,,398000000,http://oto.com.vn/mua-ban-xe-hyundai-avante-ha-noi/ban-xe-nam-san-xuat-2014-mau-trang-398tr-aidxc2501430
Chevrolet,spark,Số tay,Hatchback,2010,5,156865,Trắng,Xăng,,,FWD - Dẫn động cầu trước,98000000,http://oto.com.vn/mua-ban-xe-chevrolet-spark-ha-noi/ban-doi-2010-mau-trang-aidxc2501422
Toyota,fortuner,Số tự động,SUV,2011,8,84500,Trắng,Xăng,,,4WD - Dẫn động 4 bánh,595000000,http://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/can-ban-xe-san-xuat-2011-mau-trang-nhap-khau-nguyen-chiec-595-trieu-aidxc2501120
Toyota,fortuner,Số tay,SUV,2015,8,107000,Bạc,Diesel,,,RFD - Dẫn động cầu sau,810000000,http://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-g-dau-2015-bao-sang-ten-tron-goi-bh-giam-nua-nhe-aidxc2501526
Samco,felix,Số tay,Van/Minivan,2015,35,9999,Hai màu,Diesel,,,RFD - Dẫn động cầu sau,995000000,http://oto.com.vn/mua-ban-xe-samco-felix-da-nang/ban-o-to-doi-2015-hai-mau-aid2394186
Toyota,fortuner,Số tự động,SUV,2017,7,55000,Đen,Xăng,,2694,RFD - Dẫn động cầu sau,1030000000,http://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-xe-nhap-2017-may-xang-01-cau-mau-den-vip-aidxc2456085
Lexus,lx,Số tự động,SUV,2019,7,3000,Trắng,Xăng,,,,8.95e+09,http://oto.com.vn/mua-ban-xe-lexus-lx-ha-noi/570-s-model-2020-mau-trang-sieu-luot-0844177222-aidxc2446990
Mercedes-Benz,c-class,Số tự động,Sedan,2016,5,33000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,1316000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-c-class-ha-noi/xe-chinh-chu-ban-mercedes-c250-exclusive-2017-mau-trang-gia-tot-co-xuat-hd-aid2385373
Toyota,innova,Số tay,MPV,2012,7,100010,Bạc,,,,,415000000,http://oto.com.vn/mua-ban-xe-toyota-innova-thai-binh/ban-2012-so-san-xe-gia-dinh-aidxc2494328
Mercedes-Benz,c-class,Số tự động,Sedan,2018,5,30,Đen,Xăng,,,RFD - Dẫn động cầu sau,1649000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-c-class-hcm/can-ban-xe-mercedes-c200-exclusive-chinh-hang-tai-mercedes-phu-my-hung-aidxc2501815
Toyota,fortuner,Số tay,SUV,2010,5,180000,Đen,,,,,540000000,http://oto.com.vn/mua-ban-xe-toyota-fortuner-da-nang/ban-xe-g-san-xuat-nam-2010-aidxc2474322
Hyundai,grand-i10,,Hatchback,2017,5,4500,Đỏ,,,,,330000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/ban-xe-doi-2017-mau-do-0399993443-aidxc2501938
Chevrolet,spark,Số tự động,Hatchback,2011,2,6500,Trắng,Xăng,,,FWD - Dẫn động cầu trước,165000000,http://oto.com.vn/mua-ban-xe-chevrolet-spark-ha-noi/can-ban-gap-nam-san-xuat-2011-mau-trang-nhap-khau-165-trieu-aidxc2500717
Honda,city,,Sedan,2017,5,23000,Nâu,,,,,495000000,http://oto.com.vn/mua-ban-xe-honda-city-hcm/can-ban-sx-2017-mau-nau-aid2238357
Toyota,venza,Số tự động,CUV,2010,5,,Đỏ,Xăng,,,,820000000,http://oto.com.vn/mua-ban-xe-toyota-venza-hcm/can-ban-xe-cu-nam-san-xuat-2010-xe-nhap-gia-820tr-aidxc2501970
Toyota,corolla-altis,Số tự động,Sedan,2009,5,100000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,385000000,http://oto.com.vn/mua-ban-xe-toyota-corolla-altis-binh-duong/ban-18g-doi-2009-mau-bac-aidxc2473540
Toyota,corolla-altis,Số tự động,Sedan,2011,5,,Bạc,Xăng,,,FWD - Dẫn động cầu trước,595000000,http://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/18g-doi-2011-aidxc2501945
Honda,accord,Số tay,Sedan,1992,5,,Xám (ghi),Xăng,,,,90000000,http://oto.com.vn/mua-ban-xe-honda-accord-thua-thien-hue/ban-nam-san-xuat-1992-nhap-khau-nguyen-chiec-aidxc2501856
Hyundai,grand-i10,,Sedan,2017,5,37000,Đỏ,,,,,359000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/can-ban-doi-2017-mau-do-xe-nhap-lh-0966399867-aidxc2492320
Hyundai,grand-i10,Số tay,Hatchback,2014,5,68000,Trắng,Loại khác,,,FWD - Dẫn động cầu trước,260000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/ban-xe-doi-2014-mau-trang-nhap-khau-chinh-chu-aidxc2500693
Honda,civic,Số tự động,Sedan,2010,5,90000,Đen,Xăng,,1799,,375000000,http://oto.com.vn/mua-ban-xe-honda-civic-ha-noi/ban-18-at-nam-2010-mau-den-gia-375tr-aidxc2467633
Hyundai,santa-fe,Số tự động,SUV,2016,7,16000,Trắng,Xăng,,,4WD - Dẫn động 4 bánh,980000000,http://oto.com.vn/mua-ban-xe-hyundai-santa-fe-hcm/can-ban-gap-doi-2016-mau-trang-xe-gia-dinh-gia-980tr-aidxc2500706
Kia,forte,Số tự động,Sedan,2009,5,65486,Xám (ghi),Xăng,,,FWD - Dẫn động cầu trước,339000000,http://oto.com.vn/mua-ban-xe-kia-forte-ha-noi/ban-san-xuat-2009-mau-xam-ghi-moi-95-gia-tot-339-trieu-dong-lien-he-0584089999-0965321931-aidxc2483719
Hyundai,santa-fe,Số tự động,SUV,2011,7,63000,Bạc,Xăng,,,FWD - Dẫn động cầu trước,549000000,http://oto.com.vn/mua-ban-xe-hyundai-santa-fe-hcm/ban-santafe-nhap-khau-may-xang-24-so-tu-dong-doi-t32013-sx-2011-mau-bac-tuyet-dep-moi-80-aidxc2468669
Mitsubishi,pajero,Số tay,SUV,1998,7,453342,Xanh lục,Xăng,,3000,4WD - Dẫn động 4 bánh,150000000,http://oto.com.vn/mua-ban-xe-mitsubishi-pajero-ha-noi/xe-v6-3000-1998-150-trieu-aidxc2473980
Chevrolet,cruze,Số tay,Sedan,2016,5,,Trắng,Xăng,,,,399000000,http://oto.com.vn/mua-ban-xe-chevrolet-cruze-hcm/ban-xe-nam-san-xuat-2016-mau-trang-399tr-aidxc2501857
Chevrolet,spark,Số tự động,Hatchback,2012,2,,Trắng,Xăng,,,,159000000,http://oto.com.vn/mua-ban-xe-chevrolet-spark-hai-phong/ban-san-xuat-nam-2012-mau-trang-so-tu-dong-aidxc2501854
Kia,morning,Số tay,Hatchback,2007,5,100868,Bạc,,,,,135000000,http://oto.com.vn/mua-ban-xe-kia-morning-phu-tho/ban-gap-morining-nhap-khau-2007-phom-2008-lh-0961632279-aidxc2501882
Mazda,bt-50,Số tay,Pick-up Truck,2016,5,50000,Xanh lam,Loại khác,,,AWD - 4 bánh toàn thời gian,460000000,http://oto.com.vn/mua-ban-xe-mazda-bt-50-ha-noi/can-ban-gap-nam-2016-mau-xanh-lam-xe-nhap-gia-tot-aidxc2500766
Toyota,vios,Số tay,Sedan,2007,5,,Đen,Xăng,,,,165000000,http://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/ban-san-xuat-2007-xe-nhap-165tr-aidxc2501852
Mazda,6,Số tự động,Sedan,2019,5,5600,Xanh lam,,,,,890000000,http://oto.com.vn/mua-ban-xe-mazda-6-hcm/toi-can-ban-mau-den-phien-ban-cao-cap-nhat-premium-20-mau-den-2019-aidxc2474242
Toyota,camry,Số tự động,Sedan,2013,5,70000,Đen,Xăng,,,FWD - Dẫn động cầu trước,665000000,http://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/ban-xe-nam-2013-mau-den-665-trieu-aidxc2500707
Mercedes-Benz,glc-class,Số tự động,CUV,2016,5,22000,Trắng,Xăng,,,4WD - Dẫn động 4 bánh,1605000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-glc-class-ha-noi/can-ban-mercedes-250-4matic-doi-2017-mau-trang-noi-that-nau-gia-tot-aid2381580
Audi,a1,Số tự động,Hatchback,2010,5,65000,Đỏ,Xăng,,,FWD - Dẫn động cầu trước,495000000,http://oto.com.vn/mua-ban-xe-audi-a1-lam-dong/ban-o-to-doi-2010-mau-do-nhap-khau-aidxc2501063
Toyota,yaris,Số tự động,Hatchback,2010,5,85642,Trắng,Xăng,,,FWD - Dẫn động cầu trước,360000000,http://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/ban-gap-san-xuat-2010-mau-trang-it-su-dung-gia-tot-360-trieu-dong-lien-he-0965321931-aidxc2483726
Hyundai,grand-i10,,Hatchback,2016,5,32000,Trắng,Xăng,,,,375000000,http://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/can-ban-xe-ban-12at-san-xuat-nam-2016-aidxc2475019
Kia,morning,Số tay,Hatchback,2011,5,150000,Xanh lục,Xăng,,,FWD - Dẫn động cầu trước,145000000,http://oto.com.vn/mua-ban-xe-kia-morning-hai-duong/ban-o-to-dang-ky-lan-dau-2011-mau-xanh-luc-con-moi-gia-chi-145-trieu-dong-aidxc2500261
LandRover,evoque,Số tự động,SUV,2014,5,42000,Vàng,Xăng,,,AWD - 4 bánh toàn thời gian,2.585e+09,http://oto.com.vn/mua-ban-xe-landrover-evoque-ha-noi/ban-dynamic-san-xuat-nam-2014-mau-vang-nhap-khau-lien-he-0983222223-aidxc2473096
Mercedes-Benz,c-class,Số tự động,Sedan,2015,5,46800,Đen,Xăng,,1990,RFD - Dẫn động cầu sau,1185000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-c-class-ha-noi/chinh-chu-ban-mercedes-c250-exclusive-sx-2015-mau-den-gia-cuc-tot-aid2296263
Daewoo,matiz,Số tay,Hatchback,2001,5,80000,Xanh lam,Xăng,,,FWD - Dẫn động cầu trước,36000000,http://oto.com.vn/mua-ban-xe-daewoo-matiz-hcm/ban-san-xuat-nam-2001-mau-xanh-lam-nhap-khau-nguyen-chiec-gia-canh-tranh-aidxc2501421
LandRover,range-rover,Số tự động,SUV,2016,5,26000,Đen,Xăng,,,AWD - 4 bánh toàn thời gian,5.3e+09,http://oto.com.vn/mua-ban-xe-landrover-range-rover-ha-noi/ban-autobiography-50-san-xuat-2015-dang-ky-2016-mau-den-xe-dep-aidxc2490271
Mercedes-Benz,sprinter,Số tay,Van/Minivan,2009,16,185000,Bạc,Diesel,,,RFD - Dẫn động cầu sau,289000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-sprinter-hcm/ban-mercedes-311-san-xuat-2009-mau-kem-be-289-trieu-aidxc2482534
Ford,everest,Số tay,SUV,2008,7,135000,Bạc,Loại khác,,,RFD - Dẫn động cầu sau,315000000,http://oto.com.vn/mua-ban-xe-ford-everest-lam-dong/can-ban-gap-nam-san-xuat-2008-mau-bac-aidxc2501251
Ford,ranger,Số tự động,Pick-up Truck,2016,5,50000,Vàng,Diesel,,,RFD - Dẫn động cầu sau,539000000,http://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/o-to-thu-do-ban-xe-xls-22at-2016-mau-ghi-vang-gia-539-trieu-aid2381955
Audi,q5,Số tự động,SUV,2018,5,17500,Đen,Xăng,,,4WD - Dẫn động 4 bánh,2135000000,http://oto.com.vn/mua-ban-xe-audi-q5-ha-noi/ban-xe-cu-ban-sport-20-tfsi-chay-sieu-luot-17500-km-nhu-moi-gia-hop-ly-aidxc2467818
Hyundai,accent,Số tay,Sedan,2012,5,,Trắng,Xăng,,,,350000000,http://oto.com.vn/mua-ban-xe-hyundai-accent-bac-giang/ban-nam-2012-mau-trang-so-san-aidxc2501411
Lexus,lx,Số tự động,SUV,2018,7,8010,Trắng,,,,,8.66e+09,http://oto.com.vn/mua-ban-xe-lexus-lx-ha-noi/cam-ket-xe-sieu-moi-99999-570-xuat-my-mau-trang-noi-that-nau-do-xe-san-xuat-2018-dang-ky-cuoi-2018-aidxc2491426
Toyota,corolla-altis,Số tự động,Sedan,2008,5,,Bạc,Xăng,,,,360000000,http://oto.com.vn/mua-ban-xe-toyota-corolla-altis-thanh-hoa/ban-san-xuat-nam-2008-nhap-khau-aidxc2501729
Toyota,vios,Số tay,Sedan,2016,5,50000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,409000000,http://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/o-to-thu-do-ban-15-mt-sx-2016-mau-trang-409-trieu-aid2415476
Kia,cerato,Số tự động,Sedan,2019,5,10000,Xanh lam,Loại khác,,,FWD - Dẫn động cầu trước,646000000,http://oto.com.vn/mua-ban-xe-kia-cerato-hai-phong/can-ban-gap-doi-2019-mau-xanh-lam-chinh-chu-aidxc2501015
Ford,ranger,Số tay,Pick-up Truck,2009,5,10000,Đen,Loại khác,,,4WD - Dẫn động 4 bánh,308000000,http://oto.com.vn/mua-ban-xe-ford-ranger-tuyen-quang/ban-xe-2009-mau-den-xe-nhap-aidxc2501257
Mercedes-Benz,glc-class,Số tự động,CUV,2017,5,49000,Đen,Xăng,,,RFD - Dẫn động cầu sau,1589000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-glc-class-hcm/mba-auto-ban-xe-mercedes-glc250-doi-2017-cu-gia-tot-tra-truoc-600-trieu-nhan-xe-luon-aidxc2499973
Toyota,innova,Số tay,MPV,2012,8,102000,Bạc,Xăng,,,RFD - Dẫn động cầu sau,490000000,http://oto.com.vn/mua-ban-xe-toyota-innova-hcm/ban-e-2012-bao-sang-ten-bao-hiem-aidxc2501687
Mercedes-Benz,s-class,Số tự động,Sedan,2016,5,49000,Đen,Xăng,,2996,,2.5e+09,http://oto.com.vn/mua-ban-xe-mercedes-benz-s-class-hcm/ban-xe-nha-di-s400-dang-ky-2016-mau-den-nhap-khau-nguyen-chiec-gia-chi-2-ty-500-trieu-dong-aidxc2464004
Hyundai,starex,Số tay,Van/Minivan,2017,9,48000,Đen,Xăng,,,RFD - Dẫn động cầu sau,595000000,http://oto.com.vn/mua-ban-xe-hyundai-starex-hcm/2017-xe-nhap-moi-9-cho-so-san-xe-hang-full-aidxc2473493
Ford,everest,Số tự động,SUV,2009,7,141000,Bạc,Loại khác,,,FWD - Dẫn động cầu trước,425000000,http://oto.com.vn/mua-ban-xe-ford-everest-dong-nai/ban-doi-2009-mau-bac-chinh-chu-aidxc2498810
Mercedes-Benz,s-class,Số tự động,Sedan,2009,5,90000,Đen,Hybrid,,,4WD - Dẫn động 4 bánh,975000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-s-class-ha-noi/ban-xe-mercedes-s400-hybrid-doi-2009-mau-den-nhap-khau-aidxc2482998
Kia,pride,Số tay,Sedan,1994,4,,Màu khác,Xăng,,,,48000000,http://oto.com.vn/mua-ban-xe-kia-pride-hcm/ban-xe-nam-1994-xe-nhap-gia-canh-tranh-aidxc2502214
Ford,ecosport,Số tự động,SUV,2015,5,,Bạc,Xăng,,,,455000000,http://oto.com.vn/mua-ban-xe-ford-ecosport-ha-noi/ban-15-at-titanium-san-xuat-2015-mau-bac-aidxc2501781
Toyota,vios,Số tự động,Sedan,2017,5,30000,Trắng,Xăng,,,RFD - Dẫn động cầu sau,469000000,http://oto.com.vn/mua-ban-xe-toyota-vios-ha-noi/o-to-thu-do-ban-xe-15-at-sx-2017-mau-trang-469-trieu-aidxc2436419
Kia,rio,Số tự động,Sedan,2015,5,40000,Bạc,,,,,430000000,http://oto.com.vn/mua-ban-xe-kia-rio-ha-noi/ban-san-xuat-nam-2015-mau-bac-xe-nhap-aidxc2494099
Ford,ranger,Số tự động,Pick-up Truck,2018,5,11000,Đen,Diesel,,,4WD - Dẫn động 4 bánh,1190000000,http://oto.com.vn/mua-ban-xe-ford-ranger-hcm/ban-o-to-20-raptor-nam-2018-mau-den-nhap-khau-aidxc2455917
Isuzu,samco,Số tay,Van/Minivan,2015,35,200000,Hai màu,Diesel,,,FWD - Dẫn động cầu trước,995000000,http://oto.com.vn/mua-ban-xe-isuzu-samco-da-nang/can-ban-xe-du-lich-35-cho-doi-cuoi-2015-mau-do-trang-gia-thuong-luong-aid2420105
Toyota,land-cruiser,Số tự động,SUV,2008,7,95000,Đen,Xăng,,,4WD - Dẫn động 4 bánh,1550000000,http://oto.com.vn/mua-ban-xe-toyota-land-cruiser-ha-noi/xe-2008-mau-den-nhap-khau-nguyen-chiec-aidxc2498816
Mazda,bt-50,Số tự động,Pick-up Truck,2016,5,50000,Đỏ,Diesel,,,RFD - Dẫn động cầu sau,509000000,http://oto.com.vn/mua-ban-xe-mazda-bt-50-ha-noi/o-to-thu-do-ban-xe-bt50-22at-sx-2016-mau-do-509-trieu-aid2386745
Lexus,rx,Số tự động,SUV,2017,5,20000,Nâu,Xăng,,,AWD - 4 bánh toàn thời gian,3.65e+09,http://oto.com.vn/mua-ban-xe-lexus-rx-ha-noi/can-ban-xe-350-san-xuat-2017-xe-nhap-chinh-hang-lh-0939962368-ms-ngoc-vy-aid2380688
Daewoo,matiz,,Hatchback,2000,5,,Màu khác,Xăng,,,,67000000,http://oto.com.vn/mua-ban-xe-daewoo-matiz-dong-nai/ban-doi-2000-xe-nhap-chinh-chu-67tr-aidxc2502216
Honda,civic,Số tự động,Sedan,2018,5,4000,Bạc,Xăng,,,,749000000,http://oto.com.vn/mua-ban-xe-honda-civic-hcm/ban-xe-cu-e-nam-2018-gia-tot-aidxc2501730
Lexus,rx,Số tự động,SUV,2009,5,48000,Đen,Xăng,,,AWD - 4 bánh toàn thời gian,1320000000,http://oto.com.vn/mua-ban-xe-lexus-rx-hcm/ban-350-awd-2009-den-noi-that-kem-xe-nhap-di-it-aidxc2490359
Mercedes-Benz,gla-class,Số tự động,SUV,2019,5,5000,Đen,Xăng,,,AWD - 4 bánh toàn thời gian,1829000000,http://oto.com.vn/mua-ban-xe-mercedes-benz-gla-class-ha-noi/ban-mercedes-gla250-2019-sieu-luot-chinh-chu-bien-dep-aid2360997
Daewoo,matiz,Số tay,Hatchback,2007,5,,Bạc,Xăng,,,,69999000,http://oto.com.vn/mua-ban-xe-daewoo-matiz-dong-nai/ban-se-nam-2007-xe-ban-du-aidxc2502184
